Virus,Treatment,Group1,Group2,ID,Date,Day,Weekday,Weight,Temp,Blood_Collection,NW,RS,BD,Lethargy,Mentation,Nasal_Discharge,Sneeze,Ab_Breathing,Decrease_or_Lack_Grooming,Hunched,Facial,Neuro,Hydration,Diarrhea,Anemia,Yellow_Sera,temp_change,weight_change,wt_loss_cum_p,euth,euth_day,notes
H1N1,naive,yes,no,T7719,45785,-4,Thursday,1250,,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,,,,,,
H1N1,naive,yes,no,T7719,45789,0,Monday,1218,38.8,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0,100,0,,,
H1N1,naive,yes,no,T7719,45790,1,Tuesday,1178,40,Y,1600000,0,,0,B,N,N,N,N,,N,N,G,N,N,N,1.2,96.72,3.28,,,
H1N1,naive,yes,no,T7719,45791,2,Wednesday,1122,38.7,Y,70000,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,-0.1,92.12,7.88,,,
H1N1,naive,yes,no,T7719,45792,3,Thursday,1064,39.2,,,,,0,B,N,Y,N,N,,N,N,G,N,N,N,0.4,87.36,12.64,,,
H1N1,naive,yes,no,T7719,45793,4,Friday,1100,37.8,Y,50000,0,,0,B,N,N,N,Y,,N,N,G,N,N,N,-1,90.31,9.69,,,decreased grooming
H1N1,naive,yes,no,T7719,45794,5,Saturday,1112,39.3,,,,,0,B,N,N,N,Y,,N,N,G,N,N,N,0.5,91.3,8.7,,,decreased grooming
H1N1,naive,yes,no,T7719,45795,6,Sunday,1120,39,Y,100,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,0.2,91.95,8.05,,,
H1N1,naive,yes,no,T7719,45796,7,Monday,1124,38.6,,,,,1,D,N,Y,N,Y,,N,N,G,N,N,N,-0.2,92.28,7.72,,,"decreased grooming, lethargy 0.5-1"
H1N1,naive,yes,no,T7719,45797,8,Tuesday,1132,38.7,,0,0,,0,Q,N,N,N,N,,N,N,G,N,N,N,-0.1,92.94,7.06,,,
H1N1,naive,yes,no,T7719,45798,9,Wednesday,1122,38.9,,,,,0,Q,N,N,N,N,,N,N,G,N,N,N,0.1,92.12,7.88,,,
H1N1,naive,yes,no,T7719,45799,10,Thursday,1136,39.3,Y,0,0,,0,B,N,N,N,N,,N,N,G,N,N,N,0.5,93.27,6.73,,,
H1N1,naive,yes,no,T7719,45800,11,Friday,1128,38.5,,,,,0,Q,N,N,N,N,,N,N,G,N,N,N,-0.3,92.61,7.39,,,
H1N1,naive,yes,no,T7719,45801,12,Saturday,1136,39.1,,,,,,,,,,,,,,,,,,0.3,93.27,6.73,,,
H1N1,naive,yes,no,T7719,45802,13,Sunday,1138,38.8,,,,,,,,,,,,,,,,,,0,93.43,6.57,,,
H1N1,naive,yes,no,T7719,45803,14,Monday,1136,38.5,,,,,,,,,,,,,,,,,,-0.3,93.27,6.73,,,
H1N1,naive,yes,no,T7719,45804,15,Tuesday,1122,39.4,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0.6,92.12,7.88,,,
H1N1,naive,yes,no,T7723,45785,-4,Thursday,1350,,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,,,,,,
H1N1,naive,yes,no,T7723,45789,0,Monday,1318,38.7,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0,100,0,,,
H1N1,naive,yes,no,T7723,45790,1,Tuesday,1274,39.8,Y,50000000,0,,0,B,N,N,N,N,,N,N,G,N,N,N,1.1,96.66,3.34,,,
H1N1,naive,yes,no,T7723,45791,2,Wednesday,1180,39.5,Y,400000,0,,0,Q,N,N,N,N,,N,N,G,N,N,N,0.8,89.53,10.47,,,
H1N1,naive,yes,no,T7723,45792,3,Thursday,1154,38.8,,,,,0,Q,N,N,N,N,,N,N,G,N,N,N,0.1,87.56,12.44,,,
H1N1,naive,yes,no,T7723,45793,4,Friday,1264,38.8,Y,24000,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,0.1,95.9,4.1,,,
H1N1,naive,yes,no,T7723,45794,5,Saturday,1246,38.9,,,,,0,Q,Y,Y,N,N,,Y,N,G,N,N,N,0.2,94.54,5.46,,,
H1N1,naive,yes,no,T7723,45795,6,Sunday,1242,38.6,Y,0,0,,0,Q,N,Y,N,N,,N,N,G,N,N,N,-0.1,94.23,5.77,,,
H1N1,naive,yes,no,T7723,45796,7,Monday,1246,38.9,,,,,0,Q,N,Y,N,N,,N,N,G,N,N,N,0.2,94.54,5.46,,,
H1N1,naive,yes,no,T7723,45797,8,Tuesday,1270,38.1,,0,0,,0,Q,N,Y,N,N,,N,N,G,N,N,N,-0.6,96.36,3.64,,,
H1N1,naive,yes,no,T7723,45798,9,Wednesday,1268,38.5,,,,,0,Q,N,Y,N,N,,N,N,G,N,N,N,-0.2,96.21,3.79,,,
H1N1,naive,yes,no,T7723,45799,10,Thursday,1278,38.5,Y,0,0,,0,B,N,N,N,N,,N,N,G,N,N,N,-0.2,96.97,3.03,,,
H1N1,naive,yes,no,T7723,45800,11,Friday,1274,38.2,,,,,0,B,N,N,N,N,,N,N,G,N,N,,-0.5,96.66,3.34,,,
H1N1,naive,yes,no,T7723,45801,12,Saturday,1276,38.3,,,,,,,,,,,,,,,,,,-0.4,96.81,3.19,,,
H1N1,naive,yes,no,T7723,45802,13,Sunday,1252,38.8,,,,,,,,,,,,,,,,,,0.1,94.99,5.01,,,
H1N1,naive,yes,no,T7723,45803,14,Monday,1258,38.4,,,,,,,,,,,,,,,,,,-0.3,95.45,4.55,,,
H1N1,naive,yes,no,T7723,45804,15,Tuesday,1258,39.2,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0.5,95.45,4.55,,,
H1N1,naive,yes,no,T7724,45785,-4,Thursday,1360,,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,,,,,,
H1N1,naive,yes,no,T7724,45789,0,Monday,1350,38.5,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0,100,0,,,
H1N1,naive,yes,no,T7724,45790,1,Tuesday,1256,39.9,Y,2300000,0,,0,B,N,N,N,N,,N,N,G,N,N,N,1.4,93.04,6.96,,,
H1N1,naive,yes,no,T7724,45791,2,Wednesday,1200,38.6,Y,600000,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,0.1,88.89,11.11,,,
H1N1,naive,yes,no,T7724,45792,3,Thursday,1190,38,,,,,0,B,N,N,N,N,,N,N,G,N,N,N,-0.5,88.15,11.85,,,
H1N1,naive,yes,no,T7724,45793,4,Friday,1202,38.5,Y,1700000,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,0,89.04,10.96,,,
H1N1,naive,yes,no,T7724,45794,5,Saturday,1172,39,,,,,0,B,N,Y,N,N,,N,N,G,N,N,N,0.5,86.81,13.19,,,
H1N1,naive,yes,no,T7724,45795,6,Sunday,1152,38.3,Y,0,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,-0.2,85.33,14.67,,,
H1N1,naive,yes,no,T7724,45796,7,Monday,1174,38.5,,,,,0,B,N,Y,N,N,,N,N,G,N,N,N,0,86.96,13.04,,,
H1N1,naive,yes,no,T7724,45797,8,Tuesday,1220,38,,0,0,,0,B,N,Y,N,N,,N,N,G,N,N,N,-0.5,90.37,9.63,,,
H1N1,naive,yes,no,T7724,45798,9,Wednesday,1246,37.7,,,,,0,Q,N,Y,N,N,,N,N,G,N,N,N,-0.8,92.3,7.7,,,
H1N1,naive,yes,no,T7724,45799,10,Thursday,1250,38.6,Y,0,0,,0,B,N,N,N,N,,N,N,G,N,N,N,0.1,92.59,7.41,,,
H1N1,naive,yes,no,T7724,45800,11,Friday,1272,37.3,,,,,0,B,N,N,N,N,,N,N,G,N,N,,-1.2,94.22,5.78,,,
H1N1,naive,yes,no,T7724,45801,12,Saturday,1260,38.3,,,,,,,,,,,,,,,,,,-0.2,93.33,6.67,,,
H1N1,naive,yes,no,T7724,45802,13,Sunday,1248,38.9,,,,,,,,,,,,,,,,,,0.4,92.44,7.56,,,
H1N1,naive,yes,no,T7724,45803,14,Monday,1248,38.5,,,,,,,,,,,,,,,,,,0,92.44,7.56,,,
H1N1,naive,yes,no,T7724,45804,15,Tuesday,1240,38.9,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0.4,91.85,8.15,,,
H1N1_TX37,immune,no,yes,T7719,45877,-4,Friday,1178,,,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,,,,,,
H1N1_TX37,immune,no,yes,T7719,45885,0,Saturday,1184,38.7,Y,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,0,100,0,,,
H1N1_TX37,immune,no,yes,T7719,45886,1,Sunday,1138,41.1,Y,100000,20,0,1,D,N,N,N,N,N,N,N,G,Y,N,N,2.4,96.11486486,3.885135135,,,
H1N1_TX37,immune,no,yes,T7719,45887,2,Monday,1088,39.4,Y,400000,0,0,2,O,Y,Y,Y,N,Y,Y,N,D,Y,N,Y,0.7,91.89189189,8.108108108,yes,2,yellow sera
H1N1_TX37,immune,no,yes,T7723,45877,-4,Friday,1421,,,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,,,,,,
H1N1_TX37,immune,no,yes,T7723,45885,0,Saturday,1426,37.2,Y,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,0,100,0,,,
