Virus,ID,Day,NW
H1N1,T7719,1,1600000
H1N1,T7719,2,70000
H1N1,T7719,4,50000
H1N1,T7719,6,100
H1N1,T7719,8,10
H1N1,T7719,10,10
H1N1,T7723,1,5.00E+07
H1N1,T7723,2,4.00E+05
H1N1,T7723,4,24000
H1N1,T7723,6,10
H1N1,T7723,8,10
H1N1,T7723,10,10
H1N1,T7724,1,2300000
H1N1,T7724,2,6.00E+05
H1N1,T7724,4,1700000
H1N1,T7724,6,10
H1N1,T7724,8,10
H1N1,T7724,10,10
H1N1_TX37,T7719,1,1.00E+05
H1N1_TX37,T7719,2,4.00E+05
H1N1_TX37,T7719,4,2
H1N1_TX37,T7719,6,2
H1N1_TX37,T7719,8,2
H1N1_TX37,T7719,10,2
H1N1_TX37,T7723,1,5.00E+05
H1N1_TX37,T7723,2,8.00E+05
H1N1_TX37,T7723,4,2000
H1N1_TX37,T7723,6,10
H1N1_TX37,T7723,8,10
H1N1_TX37,T7723,10,10
H1N1_TX37,T7724,1,30000
H1N1_TX37,T7724,2,2.00E+05
H1N1_TX37,T7724,4,20000
H1N1_TX37,T7724,6,10
H1N1_TX37,T7724,8,10
H1N1_TX37,T7724,10,10
H5_MI90,T7728,1,1200000
H5_MI90,T7728,2,2.00E+05
H5_MI90,T7728,4,290000
H5_MI90,T7728,6,17000
H5_MI90,T7728,8,10
H5_MI90,T7728,10,10
H5_MI90,T7729,1,4.00E+05
H5_MI90,T7729,2,40000
H5_MI90,T7729,4,150000
H5_MI90,T7729,6,500
H5_MI90,T7729,8,10
H5_MI90,T7729,10,10
H5_MI90,T7730,1,130000
H5_MI90,T7730,2,480000
H5_MI90,T7730,4,330000
H5_MI90,T7730,6,1200
H5_MI90,T7730,8,10
H5_MI90,T7730,10,10
H5_TX37,T7725,1,1.70E+07
H5_TX37,T7725,2,1.40E+07
H5_TX37,T7725,4,2
H5_TX37,T7725,6,2
H5_TX37,T7725,8,2
H5_TX37,T7725,10,2
H5_TX37,T7726,1,4.00E+06
H5_TX37,T7726,2,3.00E+06
H5_TX37,T7726,4,2
H5_TX37,T7726,6,2
H5_TX37,T7726,8,2
H5_TX37,T7726,10,2
H5_TX37,T7727,1,1.30E+07
H5_TX37,T7727,2,8.00E+06
H5_TX37,T7727,4,2
H5_TX37,T7727,6,2
H5_TX37,T7727,8,2
H5_TX37,T7727,10,2
H3N2,T7720,1,105000
H3N2,T7720,2,25000
H3N2,T7720,4,5500
H3N2,T7720,6,1000
H3N2,T7720,8,10
H3N2,T7720,10,10
H3N2,T7721,1,2.50E+07
H3N2,T7721,2,550000
H3N2,T7721,4,10000
H3N2,T7721,6,10
H3N2,T7721,8,10
H3N2,T7721,10,10
H3N2,T7722,1,1350000
H3N2,T7722,2,6.00E+06
H3N2,T7722,4,60000
H3N2,T7722,6,450
H3N2,T7722,8,10
H3N2,T7722,10,10
H3N2_TX37,T7720,1,130000
H3N2_TX37,T7720,2,1100000
H3N2_TX37,T7720,4,3.00E+05
H3N2_TX37,T7720,6,400
H3N2_TX37,T7720,8,10
H3N2_TX37,T7720,10,2
H3N2_TX37,T7721,1,180000
H3N2_TX37,T7721,2,1500000
H3N2_TX37,T7721,4,1400000
H3N2_TX37,T7721,6,16000
H3N2_TX37,T7721,8,450
H3N2_TX37,T7721,10,2
H3N2_TX37,T7722,1,1700000
H3N2_TX37,T7722,2,5.00E+06
H3N2_TX37,T7722,4,1.00E+07
H3N2_TX37,T7722,6,2
H3N2_TX37,T7722,8,2
H3N2_TX37,T7722,10,2
