Virus,Treatment,Group1,Group2,ID,Date,Day,WBC,NEU,LYM,MON,EOS,BAS,NEU_p,LYM_p,MON_p,EOS_p,BAS_p,RBC,HGB,HCT,MCV,MCH,MCHC,RDW,PLT,MPV,ALB,ALP,ALT,AMY,TBIL,BUN,CA,PHOS,CRE,GLU,NA,K,TP,GLOB,Notes
H1N1,naive,yes,no,T7719,45785,-4,5.9,1.51,3.98,0.36,0.76,0.04,25.64,67.45,6.11,0.76,0.04,10.87,17.6,47.6,43.8,16.2,37,17.8,676,8.9,4.1,33,219,22,0.3,32,9.6,8,0.7,85,146,4.9,6.1,1.9,LIP2+
H3N2,naive,yes,no,T7720,45785,-4,7.36,2.35,4.42,0.34,0.24,0,31.93,60.11,4.62,3.3,0.04,9.45,15.7,41.7,44.1,16.6,37.6,17,654,8.5,3.9,27,284,19,0.4,34,9.7,8.4,0.8,105,148,4.8,5.8,2,HEM2+ LIP3+
H3N2,naive,yes,no,T7721,45785,-4,9.38,3.35,5.31,0.49,0.22,0.01,35.76,56.56,5.25,2.34,0.1,10.61,17.6,46.8,44.1,16.6,37.6,17.7,686,7.9,3.8,40,374,24,0.4,30,9.2,7.9,0.5,86,149,4.9,5.8,1.9,LIP3+
H3N2,naive,yes,no,T7722,45785,-4,8,2.54,4.93,0.31,0.21,0.01,31.76,61.63,3.89,2.63,0.08,9.33,14.6,39.8,42.7,15.6,36.7,18.4,394,8.3,3.7,28,141,19,0.4,26,9.7,7.9,0.6,107,149,4.8,5.7,2,HEM1+ LIP3+
H1N1,naive,yes,no,T7723,45785,-4,3.56,0.96,2.21,0.31,0.08,0,27.04,62,8.79,2.12,0.05,8.35,13.1,34.6,41.4,15.7,37.9,16.9,134,9.1,4.3,19,151,31,0.8,37,10.3,8.2,0.9,122,150,4.4,5.6,1.3,HEM2+ LIP3+
H1N1,naive,yes,no,T7724,45785,-4,8.56,2.18,5.75,0.35,0.24,0.04,25.52,67.13,4.13,2.8,0.4,9.37,14.5,39.6,42.3,15.5,36.6,18.4,561,8.3,3.8,41,199,22,0.5,35,9.7,7,0.7,123,145,5.3,5.1,1.4,HEM1+ LIP3+
H1N1,naive,yes,no,T7719,45789,0,5.36,1.03,3.89,0.33,0.09,0.02,19.15,72.5,6.17,1.77,0.41,9.89,16.3,43.1,43.6,16.5,37.8,17.2,593,8.7,4,10,168,17,0.3,18,9.8,6.5,<0.2*,113,145,4.7,5.7,1.7,HEM1+ LIP1+
H3N2,naive,yes,no,T7720,45789,0,5.96,2.28,3.17,0.34,0.17,0,38.22,53.25,5.68,2.81,0.05,9.9,16.8,43.7,44.1,17,38.4,17,573,8.8,3.8,30,302,21,0.4,25,9.7,6.9,0.5,111,148,4.8,5.8,2,HEM1+ LIP1+
H3N2,naive,yes,no,T7721,45789,0,6.38,2.05,3.65,0.48,0.2,0.01,32.17,57.16,7.48,3.08,0.11,10.09,16.5,44.6,44.2,16.4,37,17.7,641,8.7,3.8,23,501,21,0.3,22,9.5,7.3,0.5,112,147,4.7,5.6,1.9,LIP2+
H3N2,naive,yes,no,T7722,45789,0,6.54,2.4,4.1,0.27,0.12,0.01,31.15,62.75,4.06,1.9,0.14,10.3,17.2,44.1,42.8,16.7,39,18.2,443,9.5,3.7,26,173,17,0.3,29,9.9,6.7,0.6,132,143,5.2,5.7,2,HEM1+ LIP1+
