variable,mean,sd,RI_2.5,RI_97.5
ALB,3.9,0.23,3.5,4.3
ALP,25.7,8.5,9.2,40.4
ALT,197.8,104.1,92.9,428
AMY,19.1,3.9,14.6,27.6
BAS,0.01,0.01,0,0.04
BAS_p,0.15,0.12,0.03,0.45
BUN,30.3,6.4,18,41
CA,9.8,0.22,9.4,10.2
CRE,0.58,0.22,0.1,0.84
EOS,0.22,0.13,0.09,0.48
EOS_p,2.5,0.74,1,3.8
GLOB,1.8,0.28,1.4,2.4
GLU,130,27.4,85.6,173.4
HCT,40.5,3.9,32.4,47
HGB,15.1,1.6,12.1,17.6
K,4.9,0.25,4.5,5.3
LYM,4.3,1.1,2.3,6.1
LYM_p,57.3,9.6,36,70.4
MCH,16.1,0.45,15.4,16.8
MCHC,37.2,0.84,35.8,38.6
MCV,43.2,1.1,41.4,44.9
MON,0.46,0.21,0.21,0.93
MON_p,6,2,3.3,9.7
MPV,8.4,0.61,7.4,9.5
NA_,146.5,2.4,143,150.8
NEU,2.7,1.1,1,4.9
NEU_p,34.1,8.8,22.3,52.5
PHOS,7.3,0.66,6.3,8.3
PLT,556.9,145.3,179.7,752.8
RBC,9.4,0.88,7.7,10.7
RDW,17.3,0.57,16.3,18.4
TBIL,0.35,0.11,0.26,0.63
TP,5.7,0.28,5.1,6.2
WBC,7.7,1.9,4,10.6
